Req ID,Req Name,Pre-requisite,Cost,Value,PRE_REQ_COUNT,Weightage,Difference
141,Review Booking Summary,139,4,8,0,14.5,39.104651162790695
191,Physical Gift Cards,188,4,6,0,14.333333333333334,39.27131782945736
176,Event Ticket Review,175,3,4,0,14.25,39.354651162790695
186,Get Personalized Updates,103,6,8,0,14.25,39.354651162790695
134,Corporate Booking,127,6,8,0,14.25,39.354651162790695
118,Best language genre movies,103,4,5,0,14.2,39.4046511627907
111,Continue with mobile number or email id,107,5,6,0,14.166666666666666,39.43798449612403
144,Share Contact Details,143,5,6,0,14.166666666666666,39.43798449612403
160,Update Details,147,6,7,0,14.142857142857142,39.46179401993355
140,Prebook Food,139,7,7,0,14.0,39.604651162790695
193,Filter Offers,192,5,5,0,14.0,39.604651162790695
195,Corporate Discount Vouchers,194,8,8,0,14.0,39.604651162790695
131,Rate Movie ,127,6,6,0,14.0,39.604651162790695
122,To do in the region,103,6,6,0,14.0,39.604651162790695
151,Mobile Wallets,146,6,6,0,14.0,39.604651162790695
173,Bulk Book Event,164,6,6,0,14.0,39.604651162790695
116,Resend Booking Confirmation,103,7,6,0,13.833333333333334,39.77131782945736
121,Trending Movies Reviews,103,6,5,0,13.8,39.80465116279069
153,Gift Vouchers,146,6,5,0,13.8,39.80465116279069
120,Popular movies by language,103,5,4,0,13.75,39.854651162790695
119,Movies by Genre,103,5,4,0,13.75,39.854651162790695
123,Quick book,103,8,6,0,13.666666666666666,39.93798449612403
104,Change Region,103,4,3,0,13.666666666666666,39.93798449612403
177,Event Ticket Confirmation,147,7,5,0,13.6,40.004651162790694
124,Archived Collection,103,7,5,0,13.6,40.004651162790694
145,Apply Promocode,143,6,4,0,13.5,40.104651162790695
154,Redeem Points,146,5,3,0,13.333333333333334,40.27131782945736
171,Share Event,164,5,3,0,13.333333333333334,40.27131782945736
129,Movie's Trending Stories,127,7,4,0,13.25,40.354651162790695
181,Sport Venue,179,4,2,0,13.0,40.604651162790695
135,Applicable Offers,127,3,5,0,10.4,43.2046511627907
180,Sport Event Description,179,3,3,0,10.0,43.604651162790695
197,Bulk SMS Communication,194,7,7,0,10.0,43.604651162790695
108,Forgot Password,107,5,4,0,9.75,43.854651162790695
161,Resend Confirmation,147,7,5,0,9.6,44.004651162790694
182,Sport Event Date,179,3,2,0,9.5,44.104651162790695
169,View Larger Map,164,6,4,0,9.5,44.104651162790695
117,Subscribe to Newsletters,103,3,2,0,9.5,44.104651162790695
155,Credit Vouchers,146,6,4,0,9.5,44.104651162790695
132,Share Movie ,127,8,5,0,9.4,44.2046511627907
110,Continue with Google,107,7,3,0,8.666666666666666,44.93798449612403
170,Event Terms,164,3,1,0,8.0,45.604651162790695
115,Customer Care,103,7,2,0,7.5,46.104651162790695
109,Continue with Facebook,107,7,1,0,4.0,49.604651162790695
